Date,Q1,Rent_Price_m2
2012-03-31,1st quarter 2012,6.65
2012-06-30,2nd quarter 2012,6.86
2012-09-30,3rd quarter 2012,7.01
2012-12-31,4th quarter 2012,7.08
2013-03-30,1st quarter 2013,7.41
2013-06-30,2nd quarter 2013,7.52
2013-09-30,3rd quarter 2013,7.62
2013-12-30,4th quarter 2013,7.74
2014-03-30,1st quarter 2014,7.7
2014-06-30,2nd quarter 2014,7.81
2014-09-30,3rd quarter 2014,7.89
2014-12-30,4th quarter 2014,7.88
2015-03-30,1st quarter 2015,8.19
2015-06-30,2nd quarter 2015,8.18
2015-09-30,3rd quarter 2015,8.09
2015-12-30,4th quarter 2015,8.3
2016-03-30,1st quarter 2016,8.47
2016-06-30,2nd quarter 2016,8.58
2016-09-30,3rd quarter 2016,8.69
2016-12-30,4th quarter 2016,8.9
2017-03-30,1st quarter 2017,9.07
2017-06-30,2nd quarter 2017,9.33
2017-09-30,3rd quarter 2017,9.54
2017-12-30,4th quarter 2017,9.59
2018-03-30,1st quarter 2018,9.76
2018-06-30,2nd quarter 2018,9.93
2018-09-30,3rd quarter 2018,10.26
2018-12-30,4th quarter 2018,10.21
2019-03-30,1st quarter 2019,9.9
2019-06-30,2nd quarter 2019,10.06
2019-09-30,3rd quarter 2019,9.88
2019-12-30,4th quarter 2019,10.05
2020-03-30,1st quarter 2020,9.99
2020-06-30,2nd quarter 2020,10.07
2020-09-30,3rd quarter 2020,10.12
2020-12-30,4th quarter 2020,10.15
2021-03-30,1st quarter 2021,9.95
2021-06-30,2nd quarter 2021,10.19
2021-09-30,3rd quarter 2021,10.24
2021-12-30,4th quarter 2021,10.3
2022-03-30,1st quarter 2022,10.45
2022-06-30,2nd quarter 2022,11.2
2022-09-30,3rd quarter 2022,11.56
2022-12-30,4th quarter 2022,12.05
2023-03-30,1st quarter 2023,12.92
2023-06-30,2nd quarter 2023,13.23
2023-09-30,3rd quarter 2023,14.11
2023-12-30,4th quarter 2023,14.3
2024-03-30,1st quarter 2024,14.93
